UNITS BASIC DATA
Name PowerLB[MW] PowerUB[MW]  Startup_Cost[$] Commitment_Cost[$] Ramping[MW/h] Min_Uptime[h] Min_Downtime[h] ProductionCost[$/MWh] Green[1/0]
U12   	2.40 		12 	87.4 		0		  60			4 	2 		23.41 1
U13   	2.40 		12 	87.4 		0		  60			4 	2 		23.41 1
U14   	2.40 		12 	87.4 		0		  60			4 	2 		23.41 1
U15   	2.40 		12 	87.4 		0		  60			4 	2 		23.41 1
U16   	2.40 		12 	87.4 		0		  60			4 	2 		23.41 1
U21    	15.80 		20 	15.0 		3000		 180			1 	1		29.58 1
U22    	15.80 		20 	15.0 		3000		 180			1 	1		29.58 1
U23    	15.80 		20 	15.0 		3000		 180			1 	1		29.58 1
U24    	15.80 		20 	15.0 		3000		 180			1 	1		29.58 1
U50      0.00 		50 	 0.0 		0 		  50 			1       1		0.00  1
U51      0.00 		50 	 0.0 		0 		  50 			1       1		0.00 1
U52      0.00 		50 	 0.0 		0 		  50 			1       1		0.00 1
U53      0.00 		50 	 0.0 		0 		  50 			1       1		0.00 1
U54      0.00 		50 	 0.0 		0 		  50 			1       1		0.00 1
U55      0.00 		50 	 0.0 		0 		  50 			1       1		0.00 1
U76     15.20 		76 	715.2 	       1200 	          120			8 	4		11.46 0
U77     15.20 		76 	715.2 	       1200 	          120			8 	4		11.46 0
U78     15.20 		76 	715.2 	       1200 	          120			8 	4		11.46 0
U79     15.20 		76 	715.2 	       1200 	          120			8 	4		11.46 0
U100    25.00 		100      575.0 	       3000 		  420			8 	8		18.60 0
U101    25.00 		100      575.0 	       3000 		  420			8 	8		18.60 0
U102    25.00 		100      575.0 	       3000 		  420			8 	8		18.60 0
U155    54.25 		155 	 312.0 	       9000 	          180			8 	8		9.92 1
U156    54.25 		155 	 312.0 	       9000 	          180			8 	8		9.92 1
U157    54.25 		155 	 312.0 	       9000 	          180			8 	8		9.92 1
U158    54.25 		155 	 312.0 	       9000 	          180			8 	8		9.92 1
U197    68.95 		197 	1018.9 		420 		  180			12 	10		19.20 0
U198    68.95 		197 	1018.9 		420 		  180			12 	10		19.20 0
U199    68.95 		197 	1018.9 		420 		  180			12 	10		19.20 0
U350    140.00 		350 	2298.0 		9000 		  240			24      24		10.08 1
U400    100.00 		400 	0.0 		65000 		 1200		         1	1		5.31 0
